DC;FC;Betreff;Fehlerbeschreibung von FUSEON od. Drago (blau);Anmerkung Vincent (schwarz) + Antwort FUSEON (rot);Annmerkung Drago (blau) ;Antwort Vincent auf Drago ;Update Vincent (Mail vom 13.10.);Antwort FUSEON 13./14.10.;Antwort Vincent (ab 14.10.);FUSEON 17.10;Vincent ab 20.10
;;Fall Nummer 4;Finanzenseite ergänzen/unterteilen 1) Gekaufte Anfragen, 2) Gutschriftenübersicht, 3) Ausgestelle Monatsrechnungen;;"13.11., 21.26 Uhr, Es ist mir nicht ganz klar, was Sie diesen Hinweis sagen möchten "" Fall Nummer 4 "" ";;;;;;
;;Fall Nummer 4 Ergänzungen;Admin Bereich Rechnugen hinzufügen mit Angbaen der Firmen und Filterung Periode, Plattformen und Firmen;;Dito ? Haben Sie Fragen oder ??;;;;;;
;;Fall Nummer 5;Gutschriften / Weiterempfehlung;;Dito ?;;;;;;
;;Fall Nummer 6;Möglichkeit zur Zweitkarten Hinterlegung;;Dito ?;;;;;;
;;Fall Nummer 7;Option Papierkorb: Gelöschte Anfragen einsehen;;Dito ?  Bitte Ihre entsprechenden Hinweise in der gleichen Reihe, in der Kolonne 3 / F oder 4 / G vermerken, oder 5 machen, wo es grad Platz hat.BITTE AM ANFANG IMMER DAS DATUM UND ZEIT VERMERKEN, WENN SIE ETWAS SCHREIBEN.;;;;;;
;;Betsätigung erhalten für Firma 1 Test;"13.11., 21.39 Uhr, Video / Foto 7, Habe um 18.00 Uhr eine Anmelde Bestätigung per Mail erhalten für die Firma Test 1, die hatte ich vor etlichen Wochen registriert. Wieso erhale ich jetzt die Bestätigung. Auf dem Foto sehen Sie den Text und überall ist am Anfang nach der Zahl / Aufzählung ein kleiner Quadrat, was nicht sein sollte. Ganz unten steht im Button "" zum Ihren Dachboard "", sollte aber stehen ""Zu Ihrem Konto"", wenn man das dann anklickt, gelangt man auf die Verwaltungsseite von Admin und auf der Dashboard Seite, was falsch ist. ???";;;;;;;;
;;Anpassung bei Verwaltungsseite Anfrage bei der 1. Seite was erscheint;15.11., 12,34 Uhr, Video 8, Bei der 1. Seite die bei der Verwaltungsseite / Firma erscheint, sollte man die Ansicht ändern, so das immer zuerst die Anfragen erscheinen die man kaufen kann und die jetzige Seite 1. Seite entfernen;;;;;;;;
;;Anpassung der Plattform / Namen auf den Verwaltungsseiten bei den Firmen ;15.11., 12.40, Video 9, In den Verwaltungsseiten / Firma würde ich gerne, falls dies möglich ist, immer den Namen der Plattform haben, von wo sich die Firma angemeldet hat. ;17.11.25 VK: Dann nutzen Sie die Seite my.offertenheld.ch;Als Akquirierungs Plattform werde ich die Offertenheld Plattform benutzen und von dort aus alles versenden. Daher muss man jetzt die Verwaltungsseite ev. so anpassen, das dies technisch alles funktioniert. d.h. die Mails / Adressen etc.;;;;;;
;;In der Verwaltungsseite Anfragen zzgl. Filter einbauen für Statistik ;15.11., 12.46, Video 10, In der Verwaltungsseite einen zzgl. Filter einbauen wo der Kunde genau nach dem Zeitraum die Anfragen Resultate einsehen kann, wieviel Anfragen gekauft, oder nicht gekauft wurden und zu welchem Preis.  Zusätzlich 2 Felder einrichten wo er immer die gesamte Anzahl an gekauften und nicht gekauften Anfragen permanent sieht.;17.11.25 VK: Filter ersichtlich auf der Angebote Seite;;;;;;;
;;Video Firma erstellt;Wilkommensmail Icons Darstellung, Text Button ändern, Verlinkung Dashboard;"17.11.25 VK: Icons angepasst zu Text-Zahlen 1., 2., 3. etc. Text Button von ""zum Dashboard"" angepasst zu ""Zu Ihrem Konto"". Verlinkung erfolgt zu my.Domain.tld. Im Video ersichtlich waren Sie bereits mit einem anderen Adminbenutzer eingeloggt deshalb haben Sie das Admin Dashboard gesehen. Die Verlinkung erfolgt jedoch auf die Startsite von der MY-Umgebung.";;;;;;;
;;Video 8;Kein Dashboard mehr anzeigen direkt zur Angebote, die zum kaufen sind;;;;;;;;
;;Video 9;Firma Anmeldung bei Website 1 dann wenn er sich jedoch anmeldet bei Website 2, dann anderer Name;17.11.25 VK: In der Akquise muss einfach die richtige Domain genannt werden. Wenn Offertenheld.ch gewünscht ist, sollen alle Registrierungen über https://my.offertenheld.ch erfolgen. Die Firma erfährt nichts von Offertenschweiz.ch, solange diese Domain nicht erwähnt wird.;;;;;;;
;;Video 10;Unterhalb der Filter Suche weiter Filterung Zeitraum von /bis Monat + Jahr, gekaufte Anfragen ,nicht gekaufte Anfragen, Total bisher gekauft, Total nicht gekauft;;;;;;;;
